,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
300,96341.0,Concord,NC,18,0.00018683634174442864,5352.277777777777,1.8683634174442865,"Concord, NC"
301,96289.0,Federal Way,WA,14,0.00014539563189980165,6877.785714285715,1.4539563189980165,"Federal Way, WA"
302,95750.0,Hesperia,CA,5,5.2219321148825065e-05,19150.0,0.5221932114882507,"Hesperia, CA"
303,95708.0,Brockton,MA,8,8.358757888577757e-05,11963.5,0.8358757888577757,"Brockton, MA"
304,95605.0,Compton,CA,9,9.413733591339366e-05,10622.777777777777,0.9413733591339366,"Compton, CA"
305,95538.0,Flint,MI,22,0.00023027486445184115,4342.636363636364,2.3027486445184113,"Flint, MI"
306,95508.0,Erie,PA,15,0.0001570549063952758,6367.2,1.5705490639527577,"Erie, PA"
307,95363.0,New Bedford,MA,5,5.2431236433417576e-05,19072.6,0.5243123643341757,"New Bedford, MA"
308,95310.0,Fishers,IN,8,8.393662784597629e-05,11913.75,0.8393662784597629,"Fishers, IN"
309,94763.0,Roswell,GA,10,0.00010552641853888121,9476.3,1.055264185388812,"Roswell, GA"
310,94756.0,Menifee,CA,1,1.0553421419224113e-05,94756.0,0.10553421419224113,"Menifee, CA"
311,94740.0,Tracy,CA,6,6.333122229259025e-05,15790.0,0.6333122229259025,"Tracy, CA"
312,94580.0,Plantation,FL,2,2.114611968703743e-05,47290.0,0.2114611968703743,"Plantation, FL"
313,94470.0,Quincy,MA,11,0.0001164390811897957,8588.181818181818,1.1643908118979571,"Quincy, MA"
314,94398.0,Portsmouth,VA,11,0.00011652789254009618,8581.636363636364,1.165278925400962,"Portsmouth, VA"
315,94381.0,Mission Viejo,CA,3,3.1786058634682826e-05,31460.333333333332,0.3178605863468283,"Mission Viejo, CA"
316,94371.0,Chino,CA,8,8.477180489769102e-05,11796.375,0.8477180489769104,"Chino, CA"
317,94299.0,Lynn,MA,1,1.0604566326260088e-05,94299.0,0.10604566326260087,"Lynn, MA"
318,94054.0,Edmond,OK,18,0.0001913794203330002,5225.222222222223,1.913794203330002,"Edmond, OK"
319,93932.0,Dearborn,MI,4,4.258399693395222e-05,23483.0,0.4258399693395222,"Dearborn, MI"
320,93665.0,Livonia,MI,12,0.0001281161586505098,7805.416666666667,1.2811615865050978,"Livonia, MI"
321,93637.0,Yakima,WA,28,0.0002990270939906234,3344.1785714285716,2.990270939906234,"Yakima, WA"
322,93444.0,South Gate,CA,9,9.631437010401952e-05,10382.666666666666,0.9631437010401952,"South Gate, CA"
323,93400.0,Greenville,NC,17,0.00018201284796573876,5494.117647058823,1.8201284796573876,"Greenville, NC"
324,93025.0,Lawton,OK,10,0.00010749798441279227,9302.5,1.0749798441279226,"Lawton, OK"
325,93010.0,Kirkland,WA,2,2.1503064186646596e-05,46505.0,0.21503064186646598,"Kirkland, WA"
326,92870.0,Asheville,NC,24,0.0002584257564337246,3869.5833333333335,2.5842575643372454,"Asheville, NC"
327,92757.0,Deltona,FL,3,3.2342572528218895e-05,30919.0,0.32342572528218894,"Deltona, FL"
